date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:46:05	9342/9342	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/011/13.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/011/13.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:46:06	9331/9331	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/011/14.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/011/14.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:46:06	9461/9461	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/011/15.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/011/15.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:46:07	9347/9347	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/011/16.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/011/16.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:46:07	9275/9275	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/011/17.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/011/17.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:46:08	9234/9234	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/011/18.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/011/18.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:46:08	9361/9361	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/011/19.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/011/19.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:46:09	9474/9474	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/011/20.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/011/20.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:46:13	9359/9359	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/011/21.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/011/21.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:46:21	9373/9373	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/011/22.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/011/22.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:47:06	9302/9302	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/011/24.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/011/24.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
